id,park_id,park_name,park_address,area_code,has_outdoor,has_indoor,outdoor_fountain_count,outdoor_bottle_fillers,indoor_fixture_count,total_fixture_count,outdoor_remediated_count,indoor_remediated_count,outdoor_ever_elevated_count,indoor_ever_elevated_count,total_ever_elevated_count,max_lead_ever_ppb
155,0272,Smith (Wendell),9912 S PRINCETON AVE,S5,1,1,4,1,2,6,2,0,0,0,0,5.5
156,0273,Lerner,7000 N SACRAMENTO AVE,,1,0,5,1,0,5,1,0,0,0,0,2.0
157,0274,Legion,3100 W BRYN MAWR AVE,,1,0,2,0,0,2,0,0,2,0,2,115.0
158,0275,Ronan,3000 W ARGYLE ST,,1,0,3,0,0,3,0,0,0,0,0,2.0
159,0277,Nichols,1355 E 53RD ST,S3,1,1,6,0,4,10,0,1,0,1,1,28.9
160,0278,Houston,5001 S COTTAGE GROVE AVE,,1,0,2,0,0,2,0,0,0,0,0,5.5
161,0279,Elm,5215 S WOODLAWN AVE,,1,0,1,0,0,1,0,0,0,0,0,2.0
162,0280,Spruce,5337 S BLACKSTONE AVE,,1,0,1,0,0,1,0,0,0,0,0,6.8
163,0283,Ehrler,2230 W CORTLAND ST,,1,0,3,1,0,3,1,0,0,0,0,2.0
164,0285,Austin Foster,6020 W FOSTER AVE,,1,0,2,0,0,2,0,0,0,0,0,4.3
165,0286,Wentworth Gardens,3770 S WENTWORTH AVE,C5,1,1,3,0,3,6,0,0,1,0,1,107.0
166,0287,Cooper,1332 W 117TH ST,S5,1,1,3,0,2,5,0,0,0,1,1,22.2
167,0289,Brown Meml.,634 E 86TH ST,,1,0,1,0,0,1,1,0,0,0,0,2.0
168,0290,South Lakeview,1300 W WOLFRAM ST,,1,0,2,0,0,2,0,0,0,0,0,2.6
169,0293,Unity,2636 N KIMBALL AVE,,1,0,4,0,0,4,0,0,0,0,0,2.0
170,0294,Hasan,6855 S OGLESBY AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
171,0305,Le Claire Courts,5116 W 44TH ST,C4,1,1,2,0,5,7,1,0,0,0,0,10.1
172,0306,Dubkin,7442 N ASHLAND Blvd,,1,0,2,0,0,2,0,0,0,0,0,2.0
173,0307,Minuteman,5940 S CENTRAL AVE,,1,0,5,0,0,5,0,0,2,0,2,121.0
174,0308,Linden,1139 N PULASKI RD,,1,0,1,0,0,1,0,0,0,0,0,2.0
175,0309,Senka,5656 S ST LOUIS AVE,,1,0,11,0,0,11,0,0,1,0,1,30.7
176,0320,Robichaux,9247 S EGGLESTON AVE,S5,1,1,4,1,5,9,2,0,0,1,1,16.6
177,0321,Aspen,4237 S WABASH AVE,,1,0,2,0,0,2,1,0,0,0,0,2.0
178,0322,Birch,427 E 45TH ST,,1,0,2,0,0,2,1,0,0,0,0,3.4
179,0324,Harsh,4464 S OAKENWALD AVE,,1,0,2,0,0,2,0,0,1,0,1,15.2
180,0325,Holly,4052 S ELLIS AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
181,0328,Beehive,6156 S DORCHESTER AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
182,0334,King (Martin Luther),1200 W 77TH ST,S2,1,1,2,0,2,4,0,0,0,0,0,2.0
183,0335,Edgebrook,6525 N HIAWATHA AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
184,0339,Pendleton,4347 S CALUMET AVE,,1,0,3,0,0,3,0,0,0,0,0,2.0
185,0344,Dogwood,2734 W POLK ST,,1,0,2,0,0,2,0,0,0,0,0,2.0
186,0351,Honeysuckle,4637 S CHAMPLAIN AVE,,1,0,2,0,0,2,0,0,0,0,0,
187,0353,Hornbeam,1422 S HAMLIN AVE,,1,0,1,0,0,1,0,0,1,0,1,31.4
188,0360,Lin (Margaret Hie Ding),1735 S STATE ST,,1,0,3,1,0,3,0,0,0,0,0,2.0
189,0362,Brooks (Gwendolyn),4542 S GREENWOOD AVE,,1,0,2,0,0,2,0,0,0,0,0,15.0
190,0363,Burnside,9400 S GREENWOOD AVE,,1,0,3,0,0,3,0,0,0,0,0,2.0
191,0364,Gill,825 W SHERIDAN RD,N6,1,1,3,0,11,14,0,0,0,0,0,10.3
192,0365,Bauler,517 W WISCONSIN ST,,1,0,1,0,0,1,0,0,0,0,0,8.2
193,0366,DeJulio,6056 N LANDERS AVE,,1,0,2,0,0,2,0,0,0,0,0,
194,0370,Stars & Stripes,5100 S NORDICA AVE,,1,0,3,0,0,3,0,0,0,0,0,2.0
195,0371,Valley Forge,7001 W 59TH ST,S1,1,1,3,0,5,8,0,0,0,0,0,3.8
196,0373,Blackwelder,11500 S HOMEWOOD AVE,,1,0,3,0,0,3,0,0,0,0,0,2.0
197,0385,Buttercup,4913 N SHERIDAN RD,,1,0,3,0,0,3,0,0,0,0,0,2.0
198,0386,Jackson (Mahalia),8385 S BIRKHOFF AVE,,1,0,1,0,0,1,0,0,0,0,0,5.2
199,0387,Hoard,7201 S DOBSON AVE,,1,0,1,0,0,1,0,0,0,0,0,6.1
200,0389,Snowberry,1855 W HURON ST,,1,0,1,0,0,1,0,0,0,0,0,2.0
201,0391,Edmonds,711 W 60TH PL,,1,0,2,0,0,2,0,0,0,0,0,
202,0392,Juniper,3656 N GREENVIEW AVE,,1,0,3,0,0,3,1,0,0,0,0,2.0
203,0393,Walsh,1722 N ASHLAND AVE,,1,0,10,2,0,10,2,0,0,0,0,2.0
204,0397,Grove,8421 S MORGAN AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
205,0398,Sheil Community Center,3505 N SOUTHPORT AVE,N6,1,1,1,0,4,5,0,0,0,0,0,6.2
206,0399,Park 399,1420 N ARTESIAN AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
207,0400,Claremont,2342 W FLOURNOY ST,,1,0,3,0,0,3,0,0,0,0,0,3.6
208,0412,Churchill Field,1825 N DAMEN AVE,,1,0,6,0,0,6,0,0,0,0,0,2.0
209,0423,Oz,2021 N BURLING ST,,1,0,9,2,0,9,2,0,0,0,0,2.0
210,0425,Noethling,2645 N SHEFFIELD AVE,,1,0,1,0,0,1,0,0,0,0,0,2.0
211,0427,Ashmore,4807 W GUNNISON ST,,1,0,1,0,0,1,0,0,1,0,1,21.8
212,0428,Warren,6621 N WESTERN AVE,N3,1,1,10,2,5,15,5,1,1,1,2,50.9
213,0429,South Shore,7059 S SOUTH SHORE DR,S3,1,1,2,0,10,12,0,0,0,0,0,9.3
214,0431,Flower,2554 W MOFFAT ST,,1,0,3,0,0,3,0,0,0,0,0,2.0
215,0435,Bromann,5400 N BROADWAY,,1,0,3,0,0,3,0,0,0,0,0,2.0
216,0443,McInerney,4446-58 S EMERALD AVE,,1,0,3,1,0,3,1,0,0,0,0,2.0
217,0448,Metcalfe,4196 S STATE ST,,1,0,3,0,0,3,1,0,1,0,1,368.0
218,0450,Lazarus,1257 W COLUMBIA AVE,,1,0,3,1,0,3,1,0,0,0,0,2.0
219,0451,Sun Yat-Sen,251 W 24TH PL,,1,0,3,0,0,3,0,0,0,0,0,2.0
220,0452,Peterson,5801 N PULASKI RD,N3,1,1,2,1,8,10,1,0,1,2,3,41.1
221,0453,Miami,2754 S TRUMBULL AVE,,1,0,2,0,0,2,0,0,0,0,0,3.0
222,0457,Clark (Richard),3400 N ROCKWELL AVE,N4,1,1,4,0,5,9,0,0,0,0,0,2.0
223,0459,Ashe Beach,2701 E 74TH ST,,1,0,3,0,0,3,0,0,0,0,0,2.9
224,0462,Broadway Armory,5917 N BROADWAY ST,N5,0,1,0,0,6,6,0,0,0,0,0,7.6
225,0465,Dearborn,865 S PARK TER,,1,0,3,1,0,3,1,0,0,0,0,2.0
226,0479,Jones,1240 S PLYMOUTH CT,,1,0,2,0,0,2,0,0,0,0,0,2.0
227,0480,Cotton Tail,44 W 15TH ST,,1,0,4,0,0,4,0,0,0,0,0,2.0
